,sample_id,query,expectedEntityAnnotation,expectedEntitySimpleFormat
1466,16545,"Hi, hope you're doing great. I just want to let you know Here is your new virtual credit card! Your credit number is 6989-4353-8976-5555, your last digits are 4654, and the expiration date is APRIL-23. Once you activate it in our website, you can buy from anywhere in the world. Sounds exciting, doesn't it?. If you have further questions please don't hesitate to contact us at support@boa.com, or via direct call to (800) 478-1234. We will for sure be happy to assist you.","{""utterances"": [{""utterance"": ""Hi, hope you're doing great. I just want to let you know Here is your new virtual credit card! Your credit number is 6989-4353-8976-5555, your last digits are 4654, and the expiration date is APRIL-23. Once you activate it in our website, you can buy from anywhere in the world. Sounds exciting, doesn't it?. If you have further questions please don't hesitate to contact us at support@boa.com, or via direct call to (800) 478-1234. We will for sure be happy to assist you."", ""entityMatches"": [{""beginOffset"": 117, ""endOffset"": 136, ""originalString"": ""6989-4353-8976-5555"", ""matchedEntities"": [{""entityName"": ""CREDIT_DEBIT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""6989-4353-8976-5555"", ""name"": ""6989-4353-8976-5555"", ""entityName"": ""CREDIT_DEBIT_NUMBER_PII""}}]}, {""beginOffset"": 159, ""endOffset"": 163, ""originalString"": ""4654"", ""matchedEntities"": [{""entityName"": ""CREDIT_DEBIT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""4654"", ""name"": ""4654"", ""entityName"": ""CREDIT_DEBIT_NUMBER_PII""}}]}, {""beginOffset"": 192, ""endOffset"": 200, ""originalString"": ""APRIL-23"", ""matchedEntities"": [{""entityName"": ""CREDIT_DEBIT_EXPIRY_PII"", ""score"": 1.0, ""value"": {""originalString"": ""APRIL-23"", ""name"": ""APRIL-23"", ""entityName"": ""CREDIT_DEBIT_EXPIRY_PII""}}]}, {""beginOffset"": 378, ""endOffset"": 393, ""originalString"": ""support@boa.com"", ""matchedEntities"": [{""entityName"": ""EMAIL_PII"", ""score"": 1.0, ""value"": {""originalString"": ""support@boa.com"", ""name"": ""support@boa.com"", ""entityName"": ""EMAIL_PII""}}]}, {""beginOffset"": 417, ""endOffset"": 431, ""originalString"": ""(800) 478-1234"", ""matchedEntities"": [{""entityName"": ""TELEPHONE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""(800) 478-1234"", ""name"": ""(800) 478-1234"", ""entityName"": ""TELEPHONE_NUMBER_PII""}}]}]}]}","CREDIT_DEBIT_NUMBER_PII: 6989-4353-8976-5555
CREDIT_DEBIT_NUMBER_PII: 4654
CREDIT_DEBIT_EXPIRY_PII: APRIL-23
EMAIL_PII: support@boa.com
TELEPHONE_NUMBER_PII: (800) 478-1234"
2389,17551,"Hey, I just wanted to remind you that Robert Arizona called in yesterday because his driver's license number J67835674 has been suspended for almost six months. He's gotten three traffic citations and has made a case for more affordable paying alternatives. Personally, I think that he made a good case for himself. You could also find him by his plate number 6Y30077. He drives a white Toyota Tacoma, I believe. I think that we should get back to him soon, he's been waiting for a pretty long time.","{""utterances"": [{""utterance"": ""Hey, I just wanted to remind you that Robert Arizona called in yesterday because his driver's license number J67835674 has been suspended for almost six months. He's gotten three traffic citations and has made a case for more affordable paying alternatives. Personally, I think that he made a good case for himself. You could also find him by his plate number 6Y30077. He drives a white Toyota Tacoma, I believe. I think that we should get back to him soon, he's been waiting for a pretty long time."", ""entityMatches"": [{""beginOffset"": 38, ""endOffset"": 52, ""originalString"": ""Robert Arizona"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Robert Arizona"", ""name"": ""Robert Arizona"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 63, ""endOffset"": 72, ""originalString"": ""yesterday"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""yesterday"", ""name"": ""yesterday"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 109, ""endOffset"": 118, ""originalString"": ""J67835674"", ""matchedEntities"": [{""entityName"": ""DRIVER_ID_US_PII"", ""score"": 1.0, ""value"": {""originalString"": ""J67835674"", ""name"": ""J67835674"", ""entityName"": ""DRIVER_ID_US_PII""}}]}, {""beginOffset"": 149, ""endOffset"": 159, ""originalString"": ""six months"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""six months"", ""name"": ""six months"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 360, ""endOffset"": 367, ""originalString"": ""6Y30077"", ""matchedEntities"": [{""entityName"": ""LICENSE_PLATE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""6Y30077"", ""name"": ""6Y30077"", ""entityName"": ""LICENSE_PLATE_NUMBER_PII""}}]}]}]}","PERSON_PII: Robert Arizona
DATE_TIME_PII: yesterday
DRIVER_ID_US_PII: J67835674
DATE_TIME_PII: six months
LICENSE_PLATE_NUMBER_PII: 6Y30077"
894,14853,"Since I got married recently, I'm filling my paperwork to change my last name, my new last name is Traherne. I'm also applying for my driver's license number. My social security number is 909-77-4783.","{""utterances"": [{""utterance"": ""Since I got married recently, I'm filling my paperwork to change my last name, my new last name is Traherne. I'm also applying for my driver's license number. My social security number is 909-77-4783."", ""entityMatches"": [{""beginOffset"": 99, ""endOffset"": 107, ""originalString"": ""Traherne"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Traherne"", ""name"": ""Traherne"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 188, ""endOffset"": 199, ""originalString"": ""909-77-4783"", ""matchedEntities"": [{""entityName"": ""SSN_PII"", ""score"": 1.0, ""value"": {""originalString"": ""909-77-4783"", ""name"": ""909-77-4783"", ""entityName"": ""SSN_PII""}}]}]}]}","PERSON_PII: Traherne
SSN_PII: 909-77-4783"
2067,17197,"Hi Sandy,
 
 I finally found Achmed Hariri's ITIN. It's 483-76-4536. I think he is supposed to take his citizenship test next week. Please be patient with him, as English is not his first language.
 
 I've authorized him to drive the company car. He gave me his driver's license number: TGY378513.
 
 Let me know if you need anything else. My email is stanley@marvel.com and my work number is (999) 491-5734 should you have any questions.
 
 Stanley Cole.","{""utterances"": [{""utterance"": ""Hi Sandy,\n \n I finally found Achmed Hariri's ITIN. It's 483-76-4536. I think he is supposed to take his citizenship test next week. Please be patient with him, as English is not his first language.\n \n I've authorized him to drive the company car. He gave me his driver's license number: TGY378513.\n \n Let me know if you need anything else. My email is stanley@marvel.com and my work number is (999) 491-5734 should you have any questions.\n \n Stanley Cole."", ""entityMatches"": [{""beginOffset"": 3, ""endOffset"": 8, ""originalString"": ""Sandy"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Sandy"", ""name"": ""Sandy"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 29, ""endOffset"": 42, ""originalString"": ""Achmed Hariri"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Achmed Hariri"", ""name"": ""Achmed Hariri"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 56, ""endOffset"": 67, ""originalString"": ""483-76-4536"", ""matchedEntities"": [{""entityName"": ""TAXPAYER_ID_US_PII"", ""score"": 1.0, ""value"": {""originalString"": ""483-76-4536"", ""name"": ""483-76-4536"", ""entityName"": ""TAXPAYER_ID_US_PII""}}]}, {""beginOffset"": 121, ""endOffset"": 130, ""originalString"": ""next week"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""next week"", ""name"": ""next week"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 287, ""endOffset"": 296, ""originalString"": ""TGY378513"", ""matchedEntities"": [{""entityName"": ""DRIVER_ID_US_PII"", ""score"": 1.0, ""value"": {""originalString"": ""TGY378513"", ""name"": ""TGY378513"", ""entityName"": ""DRIVER_ID_US_PII""}}]}, {""beginOffset"": 352, ""endOffset"": 370, ""originalString"": ""stanley@marvel.com"", ""matchedEntities"": [{""entityName"": ""EMAIL_PII"", ""score"": 1.0, ""value"": {""originalString"": ""stanley@marvel.com"", ""name"": ""stanley@marvel.com"", ""entityName"": ""EMAIL_PII""}}]}, {""beginOffset"": 393, ""endOffset"": 407, ""originalString"": ""(999) 491-5734"", ""matchedEntities"": [{""entityName"": ""TELEPHONE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""(999) 491-5734"", ""name"": ""(999) 491-5734"", ""entityName"": ""TELEPHONE_NUMBER_PII""}}]}, {""beginOffset"": 442, ""endOffset"": 454, ""originalString"": ""Stanley Cole"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Stanley Cole"", ""name"": ""Stanley Cole"", ""entityName"": ""PERSON_PII""}}]}]}]}","PERSON_PII: Sandy
PERSON_PII: Achmed Hariri
TAXPAYER_ID_US_PII: 483-76-4536
DATE_TIME_PII: next week
DRIVER_ID_US_PII: TGY378513
EMAIL_PII: stanley@marvel.com
TELEPHONE_NUMBER_PII: (999) 491-5734
PERSON_PII: Stanley Cole"
570,14509,"Hello Chris, 

I'm glad that the dispute on the card 3754-5544-2347-3422 was resolved. I wanted to contact you to let you know that this process won't impact in any way your credit directly.  We have fully documented this issue on your file and it clearly states that this is not the customer's fault.  

As always if you have any other questions, please don't hesitate to contact me at (385) 398-4789 or by email at jose.madrigal@newalliancebank.com.  You may get a call right after we hang up with a survey on the service your received.  I'd really appreciate it if you could take a moment of your time to answer. 

thanks!","{""utterances"": [{""utterance"": ""Hello Chris, \n\nI'm glad that the dispute on the card 3754-5544-2347-3422 was resolved. I wanted to contact you to let you know that this process won't impact in any way your credit directly.  We have fully documented this issue on your file and it clearly states that this is not the customer's fault.  \n\nAs always if you have any other questions, please don't hesitate to contact me at (385) 398-4789 or by email at jose.madrigal@newalliancebank.com.  You may get a call right after we hang up with a survey on the service your received.  I'd really appreciate it if you could take a moment of your time to answer. \n\nthanks!"", ""entityMatches"": [{""beginOffset"": 6, ""endOffset"": 11, ""originalString"": ""Chris"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Chris"", ""name"": ""Chris"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 53, ""endOffset"": 72, ""originalString"": ""3754-5544-2347-3422"", ""matchedEntities"": [{""entityName"": ""CREDIT_DEBIT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""3754-5544-2347-3422"", ""name"": ""3754-5544-2347-3422"", ""entityName"": ""CREDIT_DEBIT_NUMBER_PII""}}]}, {""beginOffset"": 387, ""endOffset"": 401, ""originalString"": ""(385) 398-4789"", ""matchedEntities"": [{""entityName"": ""TELEPHONE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""(385) 398-4789"", ""name"": ""(385) 398-4789"", ""entityName"": ""TELEPHONE_NUMBER_PII""}}]}, {""beginOffset"": 417, ""endOffset"": 450, ""originalString"": ""jose.madrigal@newalliancebank.com"", ""matchedEntities"": [{""entityName"": ""EMAIL_PII"", ""score"": 1.0, ""value"": {""originalString"": ""jose.madrigal@newalliancebank.com"", ""name"": ""jose.madrigal@newalliancebank.com"", ""entityName"": ""EMAIL_PII""}}]}]}]}","PERSON_PII: Chris
CREDIT_DEBIT_NUMBER_PII: 3754-5544-2347-3422
TELEPHONE_NUMBER_PII: (385) 398-4789
EMAIL_PII: jose.madrigal@newalliancebank.com"
1154,16219,"Yes, thank you. I'd like to check on the status of my passport renewal. My name is Beverly Stamps and my passport number is 127893878. I do have the order number here, it is BR5495X. My cell phone number is (385) 398-4789 and my new address is 1313 Mockingbird Lane, Seattle, Washington 98101. Thank you for taking the time to verify everything is in order.  It's going to be another month, really? I'm very glad we started the process early. Ok, again thank you very much for all your help.","{""utterances"": [{""utterance"": ""Yes, thank you. I'd like to check on the status of my passport renewal. My name is Beverly Stamps and my passport number is 127893878. I do have the order number here, it is BR5495X. My cell phone number is (385) 398-4789 and my new address is 1313 Mockingbird Lane, Seattle, Washington 98101. Thank you for taking the time to verify everything is in order.  It's going to be another month, really? I'm very glad we started the process early. Ok, again thank you very much for all your help."", ""entityMatches"": [{""beginOffset"": 83, ""endOffset"": 97, ""originalString"": ""Beverly Stamps"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Beverly Stamps"", ""name"": ""Beverly Stamps"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 124, ""endOffset"": 133, ""originalString"": ""127893878"", ""matchedEntities"": [{""entityName"": ""PASSPORT_NUMBER_US_PII"", ""score"": 1.0, ""value"": {""originalString"": ""127893878"", ""name"": ""127893878"", ""entityName"": ""PASSPORT_NUMBER_US_PII""}}]}, {""beginOffset"": 207, ""endOffset"": 221, ""originalString"": ""(385) 398-4789"", ""matchedEntities"": [{""entityName"": ""TELEPHONE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""(385) 398-4789"", ""name"": ""(385) 398-4789"", ""entityName"": ""TELEPHONE_NUMBER_PII""}}]}, {""beginOffset"": 244, ""endOffset"": 292, ""originalString"": ""1313 Mockingbird Lane, Seattle, Washington 98101"", ""matchedEntities"": [{""entityName"": ""ADDRESS_PII"", ""score"": 1.0, ""value"": {""originalString"": ""1313 Mockingbird Lane, Seattle, Washington 98101"", ""name"": ""1313 Mockingbird Lane, Seattle, Washington 98101"", ""entityName"": ""ADDRESS_PII""}}]}, {""beginOffset"": 384, ""endOffset"": 389, ""originalString"": ""month"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""month"", ""name"": ""month"", ""entityName"": ""DATE_TIME_PII""}}]}]}]}","PERSON_PII: Beverly Stamps
PASSPORT_NUMBER_US_PII: 127893878
TELEPHONE_NUMBER_PII: (385) 398-4789
ADDRESS_PII: 1313 Mockingbird Lane, Seattle, Washington 98101
DATE_TIME_PII: month"
572,14511,"Hello Maureen, 

I'm pleased to inform you that your new debit card, number 3755-8756-8984-4499 is linked to your bank account 29704284. It is very important to have security measures when using your card, to avoid being the target of a fraudulent charge. 

thanks!","{""utterances"": [{""utterance"": ""Hello Maureen, \n\nI'm pleased to inform you that your new debit card, number 3755-8756-8984-4499 is linked to your bank account 29704284. It is very important to have security measures when using your card, to avoid being the target of a fraudulent charge. \n\nthanks!"", ""entityMatches"": [{""beginOffset"": 6, ""endOffset"": 13, ""originalString"": ""Maureen"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Maureen"", ""name"": ""Maureen"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 76, ""endOffset"": 95, ""originalString"": ""3755-8756-8984-4499"", ""matchedEntities"": [{""entityName"": ""CREDIT_DEBIT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""3755-8756-8984-4499"", ""name"": ""3755-8756-8984-4499"", ""entityName"": ""CREDIT_DEBIT_NUMBER_PII""}}]}, {""beginOffset"": 127, ""endOffset"": 135, ""originalString"": ""29704284"", ""matchedEntities"": [{""entityName"": ""BANK_ACCOUNT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""29704284"", ""name"": ""29704284"", ""entityName"": ""BANK_ACCOUNT_NUMBER_PII""}}]}]}]}","PERSON_PII: Maureen
CREDIT_DEBIT_NUMBER_PII: 3755-8756-8984-4499
BANK_ACCOUNT_NUMBER_PII: 29704284"
3095,23125,"Hello Mrs. Jones, here is the routing number for your area 74787983. This is a unique and permanent combination so can write it down and use it every time you need. We are happy to help you.","{""utterances"": [{""utterance"": ""Hello Mrs. Jones, here is the routing number for your area 74787983. This is a unique and permanent combination so can write it down and use it every time you need. We are happy to help you."", ""entityMatches"": [{""beginOffset"": 11, ""endOffset"": 16, ""originalString"": ""Jones"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Jones"", ""name"": ""Jones"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 59, ""endOffset"": 67, ""originalString"": ""74787983"", ""matchedEntities"": [{""entityName"": ""BANK_ROUTING_PII"", ""score"": 1.0, ""value"": {""originalString"": ""74787983"", ""name"": ""74787983"", ""entityName"": ""BANK_ROUTING_PII""}}]}]}]}","PERSON_PII: Jones
BANK_ROUTING_PII: 74787983"
388,14318,"Hi, I'm Carol, and I'm going to be in my RV during the month of  May, I want to connect the services for HBO and Internet to my RV during that time. We will be located around the area of South Carolinathe internet is connected with my phone (323) 566-2121 and I want to make sure everything is going to work while I'm on vacation.  Also I would like  to know what is the internet speed since I do need to have a fast connection as I may have to connect to video calls every once in a while. I'll be waiting to hear from you as I would like to have this taken care of with plenty of time befor I leave.","{""utterances"": [{""utterance"": ""Hi, I'm Carol, and I'm going to be in my RV during the month of  May, I want to connect the services for HBO and Internet to my RV during that time. We will be located around the area of South Carolinathe internet is connected with my phone (323) 566-2121 and I want to make sure everything is going to work while I'm on vacation.  Also I would like  to know what is the internet speed since I do need to have a fast connection as I may have to connect to video calls every once in a while. I'll be waiting to hear from you as I would like to have this taken care of with plenty of time befor I leave."", ""entityMatches"": [{""beginOffset"": 8, ""endOffset"": 13, ""originalString"": ""Carol"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Carol"", ""name"": ""Carol"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 55, ""endOffset"": 68, ""originalString"": ""month of  May"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""month of  May"", ""name"": ""month of  May"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 241, ""endOffset"": 255, ""originalString"": ""(323) 566-2121"", ""matchedEntities"": [{""entityName"": ""TELEPHONE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""(323) 566-2121"", ""name"": ""(323) 566-2121"", ""entityName"": ""TELEPHONE_NUMBER_PII""}}]}]}]}","PERSON_PII: Carol
DATE_TIME_PII: month of  May
TELEPHONE_NUMBER_PII: (323) 566-2121"
2532,17742,"Wow, it was so tough to pass a Germany driving test! I'm glad I did it! May I know if driver ID for my international driving license will remain as the ID on my US one, i.e. 7874TY8736?","{""utterances"": [{""utterance"": ""Wow, it was so tough to pass a Germany driving test! I'm glad I did it! May I know if driver ID for my international driving license will remain as the ID on my US one, i.e. 7874TY8736?"", ""entityMatches"": [{""beginOffset"": 174, ""endOffset"": 184, ""originalString"": ""7874TY8736"", ""matchedEntities"": [{""entityName"": ""DRIVER_ID_US_PII"", ""score"": 1.0, ""value"": {""originalString"": ""7874TY8736"", ""name"": ""7874TY8736"", ""entityName"": ""DRIVER_ID_US_PII""}}]}]}]}",DRIVER_ID_US_PII: 7874TY8736
3274,23721,"Hi, My name is Jonathan Franklin, with social security number 573-51-6223. I am already receiving my retirement benefits, which by the way were already badly needed.  is it possible for you to advise me on how to maximize my benefits in general? I mean if there are other benefits that I can take advantage of? Also, do I have to notify your office that I will be moving to Alabama next month? I receive my pension through my bank account number 489834787 with routing number 487873887.","{""utterances"": [{""utterance"": ""Hi, My name is Jonathan Franklin, with social security number 573-51-6223. I am already receiving my retirement benefits, which by the way were already badly needed.  is it possible for you to advise me on how to maximize my benefits in general? I mean if there are other benefits that I can take advantage of? Also, do I have to notify your office that I will be moving to Alabama next month? I receive my pension through my bank account number 489834787 with routing number 487873887."", ""entityMatches"": [{""beginOffset"": 15, ""endOffset"": 32, ""originalString"": ""Jonathan Franklin"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Jonathan Franklin"", ""name"": ""Jonathan Franklin"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 62, ""endOffset"": 73, ""originalString"": ""573-51-6223"", ""matchedEntities"": [{""entityName"": ""SSN_PII"", ""score"": 1.0, ""value"": {""originalString"": ""573-51-6223"", ""name"": ""573-51-6223"", ""entityName"": ""SSN_PII""}}]}, {""beginOffset"": 382, ""endOffset"": 392, ""originalString"": ""next month"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""next month"", ""name"": ""next month"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 446, ""endOffset"": 455, ""originalString"": ""489834787"", ""matchedEntities"": [{""entityName"": ""BANK_ACCOUNT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""489834787"", ""name"": ""489834787"", ""entityName"": ""BANK_ACCOUNT_NUMBER_PII""}}]}, {""beginOffset"": 476, ""endOffset"": 485, ""originalString"": ""487873887"", ""matchedEntities"": [{""entityName"": ""BANK_ROUTING_PII"", ""score"": 1.0, ""value"": {""originalString"": ""487873887"", ""name"": ""487873887"", ""entityName"": ""BANK_ROUTING_PII""}}]}]}]}","PERSON_PII: Jonathan Franklin
SSN_PII: 573-51-6223
DATE_TIME_PII: next month
BANK_ACCOUNT_NUMBER_PII: 489834787
BANK_ROUTING_PII: 487873887"
1026,16091,"Hi, this is Sandra, I was going for a walk and a Car hit an old man down the road. The car registration number is 7WOW453. Please send someone to help that old man.","{""utterances"": [{""utterance"": ""Hi, this is Sandra, I was going for a walk and a Car hit an old man down the road. The car registration number is 7WOW453. Please send someone to help that old man."", ""entityMatches"": [{""beginOffset"": 12, ""endOffset"": 18, ""originalString"": ""Sandra"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Sandra"", ""name"": ""Sandra"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 114, ""endOffset"": 121, ""originalString"": ""7WOW453"", ""matchedEntities"": [{""entityName"": ""LICENSE_PLATE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""7WOW453"", ""name"": ""7WOW453"", ""entityName"": ""LICENSE_PLATE_NUMBER_PII""}}]}]}]}","PERSON_PII: Sandra
LICENSE_PLATE_NUMBER_PII: 7WOW453"
2181,17316,Kris entered his daughter's social security number 761-64-8643 online when he was registering her for Kindergarten in the fall.,"{""utterances"": [{""utterance"": ""Kris entered his daughter's social security number 761-64-8643 online when he was registering her for Kindergarten in the fall."", ""entityMatches"": [{""beginOffset"": 0, ""endOffset"": 4, ""originalString"": ""Kris"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Kris"", ""name"": ""Kris"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 51, ""endOffset"": 62, ""originalString"": ""761-64-8643"", ""matchedEntities"": [{""entityName"": ""SSN_PII"", ""score"": 1.0, ""value"": {""originalString"": ""761-64-8643"", ""name"": ""761-64-8643"", ""entityName"": ""SSN_PII""}}]}]}]}","PERSON_PII: Kris
SSN_PII: 761-64-8643"
2888,22650,"Hello Mr. Watt, please confirm that this is your wife's social security number for insurance purposes. The card is named Sonia Watt and the social security number is 438-98-7842. Thanks.","{""utterances"": [{""utterance"": ""Hello Mr. Watt, please confirm that this is your wife's social security number for insurance purposes. The card is named Sonia Watt and the social security number is 438-98-7842. Thanks."", ""entityMatches"": [{""beginOffset"": 10, ""endOffset"": 14, ""originalString"": ""Watt"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Watt"", ""name"": ""Watt"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 121, ""endOffset"": 131, ""originalString"": ""Sonia Watt"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Sonia Watt"", ""name"": ""Sonia Watt"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 166, ""endOffset"": 177, ""originalString"": ""438-98-7842"", ""matchedEntities"": [{""entityName"": ""SSN_PII"", ""score"": 1.0, ""value"": {""originalString"": ""438-98-7842"", ""name"": ""438-98-7842"", ""entityName"": ""SSN_PII""}}]}]}]}","PERSON_PII: Watt
PERSON_PII: Sonia Watt
SSN_PII: 438-98-7842"
3318,23932,I'm here to get the results of the bloodwork that was requested by Dr. Heekin. My SSN is 575-90-7554.,"{""utterances"": [{""utterance"": ""I'm here to get the results of the bloodwork that was requested by Dr. Heekin. My SSN is 575-90-7554."", ""entityMatches"": [{""beginOffset"": 71, ""endOffset"": 77, ""originalString"": ""Heekin"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Heekin"", ""name"": ""Heekin"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 89, ""endOffset"": 100, ""originalString"": ""575-90-7554"", ""matchedEntities"": [{""entityName"": ""SSN_PII"", ""score"": 1.0, ""value"": {""originalString"": ""575-90-7554"", ""name"": ""575-90-7554"", ""entityName"": ""SSN_PII""}}]}]}]}","PERSON_PII: Heekin
SSN_PII: 575-90-7554"
2465,17632,"Good day, this Steve Panelo. I called a month ago for an overcharge on my billing. I was promised a refund and I even gave my 12958589 and my routing number which is 74367883. Where is the refund? Still not showing on my account. Call me back at (267) 487-6789.","{""utterances"": [{""utterance"": ""Good day, this Steve Panelo. I called a month ago for an overcharge on my billing. I was promised a refund and I even gave my 12958589 and my routing number which is 74367883. Where is the refund? Still not showing on my account. Call me back at (267) 487-6789."", ""entityMatches"": [{""beginOffset"": 15, ""endOffset"": 27, ""originalString"": ""Steve Panelo"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Steve Panelo"", ""name"": ""Steve Panelo"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 40, ""endOffset"": 45, ""originalString"": ""month"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""month"", ""name"": ""month"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 126, ""endOffset"": 134, ""originalString"": ""12958589"", ""matchedEntities"": [{""entityName"": ""BANK_ACCOUNT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""12958589"", ""name"": ""12958589"", ""entityName"": ""BANK_ACCOUNT_NUMBER_PII""}}]}, {""beginOffset"": 166, ""endOffset"": 174, ""originalString"": ""74367883"", ""matchedEntities"": [{""entityName"": ""BANK_ROUTING_PII"", ""score"": 1.0, ""value"": {""originalString"": ""74367883"", ""name"": ""74367883"", ""entityName"": ""BANK_ROUTING_PII""}}]}, {""beginOffset"": 246, ""endOffset"": 260, ""originalString"": ""(267) 487-6789"", ""matchedEntities"": [{""entityName"": ""TELEPHONE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""(267) 487-6789"", ""name"": ""(267) 487-6789"", ""entityName"": ""TELEPHONE_NUMBER_PII""}}]}]}]}","PERSON_PII: Steve Panelo
DATE_TIME_PII: month
BANK_ACCOUNT_NUMBER_PII: 12958589
BANK_ROUTING_PII: 74367883
TELEPHONE_NUMBER_PII: (267) 487-6789"
