,sample_id,query,expectedEntityAnnotation,expectedEntitySimpleFormat
2389,24841,"Dear Carolyn. I am afraid I need to cancel this evening’s class as my business meeting will take longer than expected. I know this is short notice, so in a few minutes, I will direct deposit the corresponding payment from my bank account number 74681344 to your bank account number 53297029, routing number 53787822. Let’s reschedule the class for this Friday at the same time if you can. Thanks for understanding. Best Kelly Collins.","{""utterances"": [{""utterance"": ""Dear Carolyn. I am afraid I need to cancel this evening\u2019s class as my business meeting will take longer than expected. I know this is short notice, so in a few minutes, I will direct deposit the corresponding payment from my bank account number 74681344 to your bank account number 53297029, routing number 53787822. Let\u2019s reschedule the class for this Friday at the same time if you can. Thanks for understanding. Best Kelly Collins."", ""entityMatches"": [{""beginOffset"": 5, ""endOffset"": 12, ""originalString"": ""Carolyn"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Carolyn"", ""name"": ""Carolyn"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 43, ""endOffset"": 55, ""originalString"": ""this evening"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""this evening"", ""name"": ""this evening"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 156, ""endOffset"": 167, ""originalString"": ""few minutes"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""few minutes"", ""name"": ""few minutes"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 245, ""endOffset"": 253, ""originalString"": ""74681344"", ""matchedEntities"": [{""entityName"": ""BANK_ACCOUNT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""74681344"", ""name"": ""74681344"", ""entityName"": ""BANK_ACCOUNT_NUMBER_PII""}}]}, {""beginOffset"": 282, ""endOffset"": 290, ""originalString"": ""53297029"", ""matchedEntities"": [{""entityName"": ""BANK_ACCOUNT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""53297029"", ""name"": ""53297029"", ""entityName"": ""BANK_ACCOUNT_NUMBER_PII""}}]}, {""beginOffset"": 307, ""endOffset"": 315, ""originalString"": ""53787822"", ""matchedEntities"": [{""entityName"": ""BANK_ROUTING_PII"", ""score"": 1.0, ""value"": {""originalString"": ""53787822"", ""name"": ""53787822"", ""entityName"": ""BANK_ROUTING_PII""}}]}, {""beginOffset"": 348, ""endOffset"": 359, ""originalString"": ""this Friday"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""this Friday"", ""name"": ""this Friday"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 420, ""endOffset"": 433, ""originalString"": ""Kelly Collins"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Kelly Collins"", ""name"": ""Kelly Collins"", ""entityName"": ""PERSON_PII""}}]}]}]}","PERSON_PII: Carolyn
DATE_TIME_PII: this evening
DATE_TIME_PII: few minutes
BANK_ACCOUNT_NUMBER_PII: 74681344
BANK_ACCOUNT_NUMBER_PII: 53297029
BANK_ROUTING_PII: 53787822
DATE_TIME_PII: this Friday
PERSON_PII: Kelly Collins"
894,25728,"Hi, I was just calling to inform you that I will be there shortly to install the playhouse in your backyard that your ordered last week. My license plate number is 435NDC, just so you know who is coming. My GPS is saying I will be there in about 13 minutes.","{""utterances"": [{""utterance"": ""Hi, I was just calling to inform you that I will be there shortly to install the playhouse in your backyard that your ordered last week. My license plate number is 435NDC, just so you know who is coming. My GPS is saying I will be there in about 13 minutes."", ""entityMatches"": [{""beginOffset"": 126, ""endOffset"": 135, ""originalString"": ""last week"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""last week"", ""name"": ""last week"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 164, ""endOffset"": 170, ""originalString"": ""435NDC"", ""matchedEntities"": [{""entityName"": ""LICENSE_PLATE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""435NDC"", ""name"": ""435NDC"", ""entityName"": ""LICENSE_PLATE_NUMBER_PII""}}]}, {""beginOffset"": 246, ""endOffset"": 256, ""originalString"": ""13 minutes"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""13 minutes"", ""name"": ""13 minutes"", ""entityName"": ""DATE_TIME_PII""}}]}]}]}","DATE_TIME_PII: last week
LICENSE_PLATE_NUMBER_PII: 435NDC
DATE_TIME_PII: 13 minutes"
2067,22291,This is to remind you of the payment for your emergency room consultation last Friday. You may pay the total amount on your invoice through our direct deposit account 35548843.,"{""utterances"": [{""utterance"": ""This is to remind you of the payment for your emergency room consultation last Friday. You may pay the total amount on your invoice through our direct deposit account 35548843."", ""entityMatches"": [{""beginOffset"": 74, ""endOffset"": 85, ""originalString"": ""last Friday"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""last Friday"", ""name"": ""last Friday"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 167, ""endOffset"": 175, ""originalString"": ""35548843"", ""matchedEntities"": [{""entityName"": ""BANK_ACCOUNT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""35548843"", ""name"": ""35548843"", ""entityName"": ""BANK_ACCOUNT_NUMBER_PII""}}]}]}]}","DATE_TIME_PII: last Friday
BANK_ACCOUNT_NUMBER_PII: 35548843"
570,25649,"I can buy hard liquors. I am 21 years of age. I am a regular customer here, it is on file, go ahead and check.","{""utterances"": [{""utterance"": ""I can buy hard liquors. I am 21 years of age. I am a regular customer here, it is on file, go ahead and check."", ""entityMatches"": [{""beginOffset"": 29, ""endOffset"": 37, ""originalString"": ""21 years"", ""matchedEntities"": [{""entityName"": ""AGE_PII"", ""score"": 1.0, ""value"": {""originalString"": ""21 years"", ""name"": ""21 years"", ""entityName"": ""AGE_PII""}}]}]}]}",AGE_PII: 21 years
1154,25088,My name is Rey.  I'm looking at buying a car from Automotive Inc. Could you please look into the specifics of this automobile with the license plate 7WOW453?,"{""utterances"": [{""utterance"": ""My name is Rey.\u00a0 I'm looking at buying a car from Automotive Inc. Could you please look into the specifics of this automobile with the license plate 7WOW453?"", ""entityMatches"": [{""beginOffset"": 11, ""endOffset"": 14, ""originalString"": ""Rey"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Rey"", ""name"": ""Rey"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 149, ""endOffset"": 156, ""originalString"": ""7WOW453"", ""matchedEntities"": [{""entityName"": ""LICENSE_PLATE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""7WOW453"", ""name"": ""7WOW453"", ""entityName"": ""LICENSE_PLATE_NUMBER_PII""}}]}]}]}","PERSON_PII: Rey
LICENSE_PLATE_NUMBER_PII: 7WOW453"
572,25553,"Hey, Alex, is this your passport number E1599678? I tried to get you a flight ticket today for your business trip but the personnel told me that it's invalid. It might be better if you call the ticketing agency personally. Their number is (512) 345-8777.","{""utterances"": [{""utterance"": ""Hey, Alex, is this your passport number E1599678? I tried to get you a flight ticket today for your business trip but the personnel told me that it's invalid. It might be better if you call the ticketing agency personally. Their number is (512) 345-8777."", ""entityMatches"": [{""beginOffset"": 5, ""endOffset"": 9, ""originalString"": ""Alex"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Alex"", ""name"": ""Alex"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 40, ""endOffset"": 48, ""originalString"": ""E1599678"", ""matchedEntities"": [{""entityName"": ""PASSPORT_NUMBER_US_PII"", ""score"": 1.0, ""value"": {""originalString"": ""E1599678"", ""name"": ""E1599678"", ""entityName"": ""PASSPORT_NUMBER_US_PII""}}]}, {""beginOffset"": 85, ""endOffset"": 90, ""originalString"": ""today"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""today"", ""name"": ""today"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 239, ""endOffset"": 253, ""originalString"": ""(512) 345-8777"", ""matchedEntities"": [{""entityName"": ""TELEPHONE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""(512) 345-8777"", ""name"": ""(512) 345-8777"", ""entityName"": ""TELEPHONE_NUMBER_PII""}}]}]}]}","PERSON_PII: Alex
PASSPORT_NUMBER_US_PII: E1599678
DATE_TIME_PII: today
TELEPHONE_NUMBER_PII: (512) 345-8777"
388,23497,"I see that you are attending the gala on March 12, for childhood cancer. You purchased tickets on the credit card ending in 6530 it looks like. Did you want me to keep that on file for you to purchase donations during the event? You can either do it that way, bring cash, or bring another form of payment. We look forward to seeing you in a few weeks.","{""utterances"": [{""utterance"": ""I see that you are attending the gala on March 12, for childhood cancer. You purchased tickets on the credit card ending in 6530 it looks like. Did you want me to keep that on file for you to purchase donations during the event? You can either do it that way, bring cash, or bring another form of payment. We look forward to seeing you in a few weeks."", ""entityMatches"": [{""beginOffset"": 41, ""endOffset"": 49, ""originalString"": ""March 12"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""March 12"", ""name"": ""March 12"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 124, ""endOffset"": 128, ""originalString"": ""6530"", ""matchedEntities"": [{""entityName"": ""CREDIT_DEBIT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""6530"", ""name"": ""6530"", ""entityName"": ""CREDIT_DEBIT_NUMBER_PII""}}]}, {""beginOffset"": 341, ""endOffset"": 350, ""originalString"": ""few weeks"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""few weeks"", ""name"": ""few weeks"", ""entityName"": ""DATE_TIME_PII""}}]}]}]}","DATE_TIME_PII: March 12
CREDIT_DEBIT_NUMBER_PII: 6530
DATE_TIME_PII: few weeks"
1026,25423,"I’ll repeat your order. Your order is 16-inch pepperoni pizza and 16-inch Hawaiian pizza, right? For the invoice details, your full name is Roberto, your contact number is (228) 777-9898, and the address is 8405 6th St Leighton, Alabama 35672, correct?","{""utterances"": [{""utterance"": ""I\u2019ll repeat your order. Your order is 16-inch pepperoni pizza and 16-inch Hawaiian pizza, right? For the invoice details, your full name is Roberto, your contact number is (228) 777-9898, and the address is 8405 6th St Leighton, Alabama 35672, correct?"", ""entityMatches"": [{""beginOffset"": 140, ""endOffset"": 147, ""originalString"": ""Roberto"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Roberto"", ""name"": ""Roberto"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 172, ""endOffset"": 186, ""originalString"": ""(228) 777-9898"", ""matchedEntities"": [{""entityName"": ""TELEPHONE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""(228) 777-9898"", ""name"": ""(228) 777-9898"", ""entityName"": ""TELEPHONE_NUMBER_PII""}}]}, {""beginOffset"": 207, ""endOffset"": 242, ""originalString"": ""8405 6th St Leighton, Alabama 35672"", ""matchedEntities"": [{""entityName"": ""ADDRESS_PII"", ""score"": 1.0, ""value"": {""originalString"": ""8405 6th St Leighton, Alabama 35672"", ""name"": ""8405 6th St Leighton, Alabama 35672"", ""entityName"": ""ADDRESS_PII""}}]}]}]}","PERSON_PII: Roberto
TELEPHONE_NUMBER_PII: (228) 777-9898
ADDRESS_PII: 8405 6th St Leighton, Alabama 35672"
2181,17931,"Well, if your offer is not accepted, they won't return the payment, but I think it is a good strategy to add account 12910750, just in case.","{""utterances"": [{""utterance"": ""Well, if your offer is not accepted, they won't return the payment, but I think it is a good strategy to add account 12910750, just in case."", ""entityMatches"": [{""beginOffset"": 117, ""endOffset"": 125, ""originalString"": ""12910750"", ""matchedEntities"": [{""entityName"": ""BANK_ACCOUNT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""12910750"", ""name"": ""12910750"", ""entityName"": ""BANK_ACCOUNT_NUMBER_PII""}}]}]}]}",BANK_ACCOUNT_NUMBER_PII: 12910750
2465,23666,"Carlos told the medical staff that his driver's license number is W34898739, and that another nurse is treating him due to the earlier accident. The staff completes all necessary documentation and calls his family to inform them of his condition and the fact that he needs knee surgery due to a damaged bone in his knee.","{""utterances"": [{""utterance"": ""Carlos told the medical staff that his driver's license number is W34898739, and that another nurse is treating him due to the earlier accident. The staff completes all necessary documentation and calls his family to inform them of his condition and the fact that he needs\u00a0knee surgery due to a damaged bone in his knee."", ""entityMatches"": [{""beginOffset"": 0, ""endOffset"": 6, ""originalString"": ""Carlos"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Carlos"", ""name"": ""Carlos"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 66, ""endOffset"": 75, ""originalString"": ""W34898739"", ""matchedEntities"": [{""entityName"": ""DRIVER_ID_US_PII"", ""score"": 1.0, ""value"": {""originalString"": ""W34898739"", ""name"": ""W34898739"", ""entityName"": ""DRIVER_ID_US_PII""}}]}]}]}","PERSON_PII: Carlos
DRIVER_ID_US_PII: W34898739"
601,24183,A fire was ongoing April 30 in a subdivision of the block. A concerned citizen aged 26 immediately dialled (582) 488-2543 of the fire department near their area.,"{""utterances"": [{""utterance"": ""A fire was ongoing April 30 in a subdivision of the block. A concerned citizen aged 26 immediately dialled (582) 488-2543 of the fire department near their area."", ""entityMatches"": [{""beginOffset"": 19, ""endOffset"": 27, ""originalString"": ""April 30"", ""matchedEntities"": [{""entityName"": ""DATE_TIME_PII"", ""score"": 1.0, ""value"": {""originalString"": ""April 30"", ""name"": ""April 30"", ""entityName"": ""DATE_TIME_PII""}}]}, {""beginOffset"": 84, ""endOffset"": 86, ""originalString"": ""26"", ""matchedEntities"": [{""entityName"": ""AGE_PII"", ""score"": 1.0, ""value"": {""originalString"": ""26"", ""name"": ""26"", ""entityName"": ""AGE_PII""}}]}, {""beginOffset"": 107, ""endOffset"": 121, ""originalString"": ""(582) 488-2543"", ""matchedEntities"": [{""entityName"": ""TELEPHONE_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""(582) 488-2543"", ""name"": ""(582) 488-2543"", ""entityName"": ""TELEPHONE_NUMBER_PII""}}]}]}]}","DATE_TIME_PII: April 30
AGE_PII: 26
TELEPHONE_NUMBER_PII: (582) 488-2543"
1270,24798,"I have filled in the wrong passport number and my correct number is 5563524109, can you please update it?","{""utterances"": [{""utterance"": ""I have filled in the wrong passport number and my correct number is 5563524109, can you please update it?"", ""entityMatches"": [{""beginOffset"": 68, ""endOffset"": 78, ""originalString"": ""5563524109"", ""matchedEntities"": [{""entityName"": ""PASSPORT_NUMBER_US_PII"", ""score"": 1.0, ""value"": {""originalString"": ""5563524109"", ""name"": ""5563524109"", ""entityName"": ""PASSPORT_NUMBER_US_PII""}}]}]}]}",PASSPORT_NUMBER_US_PII: 5563524109
404,25250,"My name is Joseph Morgan. I would like to file a report because my debit card was stolen. The card number is 5589-7325-4545-3534, with expiration date Dec/27. Please help.","{""utterances"": [{""utterance"": ""My name is Joseph Morgan. I would like to file a report because my debit card was stolen. The card number is 5589-7325-4545-3534, with expiration date Dec/27. Please help."", ""entityMatches"": [{""beginOffset"": 11, ""endOffset"": 24, ""originalString"": ""Joseph Morgan"", ""matchedEntities"": [{""entityName"": ""PERSON_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Joseph Morgan"", ""name"": ""Joseph Morgan"", ""entityName"": ""PERSON_PII""}}]}, {""beginOffset"": 109, ""endOffset"": 128, ""originalString"": ""5589-7325-4545-3534"", ""matchedEntities"": [{""entityName"": ""CREDIT_DEBIT_NUMBER_PII"", ""score"": 1.0, ""value"": {""originalString"": ""5589-7325-4545-3534"", ""name"": ""5589-7325-4545-3534"", ""entityName"": ""CREDIT_DEBIT_NUMBER_PII""}}]}, {""beginOffset"": 151, ""endOffset"": 157, ""originalString"": ""Dec/27"", ""matchedEntities"": [{""entityName"": ""CREDIT_DEBIT_EXPIRY_PII"", ""score"": 1.0, ""value"": {""originalString"": ""Dec/27"", ""name"": ""Dec/27"", ""entityName"": ""CREDIT_DEBIT_EXPIRY_PII""}}]}]}]}","PERSON_PII: Joseph Morgan
CREDIT_DEBIT_NUMBER_PII: 5589-7325-4545-3534
CREDIT_DEBIT_EXPIRY_PII: Dec/27"
